k,P_For,P_While
1,0.000000,0.000000
2,0.000000,0.000000
3,0.000000,0.000000
4,0.000000,0.000000
5,0.000000,0.000000
6,0.000000,0.000000
7,0.000200,0.000000
8,0.000267,0.000000
9,0.002667,0.000000
10,0.012733,0.000000
11,0.059933,0.000133
12,0.246333,0.000133
